id,round,title,texts,areaScope,latitude,longitude,versionsCount,state,total_comments_count,selected,link_plans,num_link_proposals,adj_budget,budgetamount,district
1003,2,Moninaisia ja saavutettavia liikuntaryhmiä kaupungin eri alueille,"Liikuntapalvelut tarjoavat nykyisin monipuolisia liikuntaryhmiä, mutta useissa ryhmissä ei olla huomioitu erilaisten liikkujien tarpeita. Näennäisesti avoimet ryhmät sulkevat helposti ulkopuolelle ikääntyviä liikkujia, joilla on erilaisia tarpeita liikunnan järjestämisessä (esim. naisten ryhmät, ohjaus selkosuomella, tunnit ilman taustamusiikkia, mahdollisuus rukoushetkeen, helppo ilmoittautuminen). Osallistujien toimintakyky tulee huomioida liikunnan järjestämisessä. Somalinkielisten ikääntyvien naisten ryhmän ehdotus on, että kunnan tulisi järjestää kaupungin eri alueille tämänkaltaisia naisille suunnattuja liikuntapalveluja.

Visio vuodelle 2025:  
Kuntalaiset liikkuvat terveytensä kannalta riittävästi ja saavat siitä iloa, elämyksiä sekä toiminta- ja työkykyä. Kuntien liikuntapalvelut ovat kohtuuhintaisia ja helposti saavutettavissa kaikenlaisille liikkujille. Ennaltaehkäisevänä toimenpiteenä terveyttä ja hyvinvointia edistävä liikunta on koko kunnan yhteinen asia.",Helsingin yhteinen,60.168676579179866,24.9409467965726,6.0,accepted,1.0,Not selected,795.0,5.0,20000.0,100000.0,Vironniemi
1004,1,Vartiosaaren vesitie – lähimatkailun rengasreitti,"Ehdotus on vesibussilinjapilotti Vartiosaaren ja itäisen saariston saavutettavuuden parantamiseksi lähikaupunginosista. Se sijoittuu kaakkoiseen suurpiiriin ja yhdistyy laajemmin myös koko Helsingin veneliikenteeseen. Linja voi olla ilmainen tai maksaa tulevan AB-tariffin verran. Reitti tarjoaa mahdollisuuden tutustua myös muihin itäisiin ulkoilu- ja virkistyssaariin. Kokeiluun tarvitaan vesiliikenneyrittäjä, yksi noin 20 hengen alus miehistöineen, sekä pysäkkeinä toimivien laitureiden kunnon tarkistus ja korjaukset. Vesitie tuo ainutlaatuisen lisän Helsingin matkailutarjontaan ja avaa saaristoa itähelsinkiläisille. Vartiosaaressa ja Villingissä yhdistyvät entisajan saaristolaishuvilamiljöö ja luontoelämykset tavalla, joita ei muilla kaupungeilla ole juurikaan tarjota. Itäiset saaret poikkeavat luonteeltaan viime vuosina matkailukäyttöön vapautuneista muista Helsingin edustan saarista. Niiden avaaminen täydentää Helsingin merellistä strategiaa ja saariston hyödyntämistä matkailuun.",Kaakkoinen,60.18028,25.06954,7.0,rejected,4.0,Not selected,,,,,Laajasalo
1004,2,penkkejä lisää,"OmaStadi

Tausta tietoa asiasta

Kesä 2020 oli Koronaviruksen rajoittama, vaikka höllennyksiäkin oli tehty. Ihmiset, varsinkin iäkkäimmät ulkoilivat paljon, lähinnä kävelivät ja kävelivät.
Eräänä kauniina kesäpäivänä päivänä päätimme juoda kaffet ulkona ja pelata Mölkky nimistä peliä Oulunkylässä. 
Menimme Päiväkoti Nestorin edessä (Kylänvanhimmantie 1) olevalle suurelle kentälle. Alue on aika laaja ja siellä on kaksi (2) penkkiä ja kaikki penkit tietysti olivat varattuja. . 

IDEA
Sellainen yhdistelmä pöytä jossa molemmin puolin penkit , niitä ehdottaisin ainakin pari kappaletta  Kylänvanhimmantie 1 edessä olevalle kentälle ja kävelyreitteille lisää penkkejä.",Pohjoinen,60.2251628211393,24.9559164047241,8.0,accepted,2.0,Not selected,853.0,3.0,21666.666666666668,65000.0,Oulunkylä
1005,1,Portaat Alakiven puistoon,Alakiven puisto on upea alue ja käytettävyyttä lisäisi jos mäen harjalle rakennettaisiin kuntoportaat.,Itäinen,60.22021,25.0782,8.0,accepted,1.0,Not selected,,,,,Myllypuro
1006,1,Molok-paperinkeräyssäiliö,"Rapolantien ja Jäkärläntien kulmalla on erittäin ruma vihreä epäsiisti laatikkomallinen paperinkeräysastia,jota ei ole upotettu maahan.Vetoisuus pieni ja rumentaa ympäristöä.Toivomuksena molok- säiliöastia,joka upotetaan maahan ja myös sulautuu ympäristöön paremmin.",Itäinen,60.24031,25.09381,8.0,rejected,0.0,Not selected,,,,,Mellunkylä
1006,2,Matalan kynnyksen päiväkeskus Malmille,"Ehdotan matalan kynnyksen oleskelutilaa Malmille. Tilassa voisi olla tarjolla aamupalaa tai muuta ruokaa, terveysneuvontaa, tietokoneet asiointiin, sekä bilispöytää ym. ajanvietettä.  Sijainnin olisi hyvä olla tarpeeksi lähellä juna-asemaa mutta ei liian syrjässä. Malmi on hyvien liikenneyhteyksien varrella sijaitseva merkittävä palvelukeskittymä jossa sijaitsee mm. sosiaalitoimisto, Kela, terveyskeskus ja sairaala, kaksi korvaushoidon poliklinikkaa, kirjasto, ja Alko, jotka vetävät puoleensa asunnottomia sekä syrjäytymisvaarassa olevia kaupunkilaisia ja ulkopaikkakuntalaisia. Malmilla on jo A-kilta sekä Mielenterveysyhdistys Karvinen, joissa edellytetään päihteettömyyttä. Malmin katukuvassa näkyy tarve päihtymyksen sallivalle tilalle ja molemminpuolin rataa oleskelee ihmisiä, jotka hyötyisivät tällaisesta palvelusta. Päiväkeskus palvelisi syrjäytymisvaarassa olevien asiakkaiden tarvetta oleskelupaikalle, ja lisäksi edistäisi alueen yleistä viihtyvyyttä merkittävästi.",Koillinen,60.251865,25.009613,8.0,accepted,2.0,Not selected,788.0,1.0,500000.0,500000.0,Malmi
1007,1,Katuhidaste,"Jäkärläntielle olisi suotavaa lisätä yksi hidaste hillitsemään ajonopeutta/kiihdytysajoja,joita näkee tarpeettoman usein nimenomaan lähellä Rapolantietä",Itäinen,60.24626057443445,25.08402129533737,8.0,rejected,1.0,Not selected,,,,,Mellunkylä
1007,2,Koulujen käsityöluokat harrastuskäyttöön KANTAKAUPUNGISSA,"Olin mukana esittämässä tuota:
https://omastadi.hel.fi/processes/osbu-2019/f/173/results/39?locale=fi
Ja luonnollisesti kävi niinkuin pelkäsinkin.
Esitin käsityöluokan harrastekäyttöä kalliolaisena Kalliossa ja nyt se käsityöluokka olis tarjolla 5 tai 7 kilometrin päässä.

Käsityöluokan tarjoaminen kantakaupungissa on tärkeämpää kuin muualla, koska:
1) Kantakaupunkilaisilla on harvemmin autoja, kuin muualla Helsingissä, joilla kuskailla niitä harrastettavia asioita sinne käsityöluokkaan.
2) Kantakaupungissa asutaan ahtaammin kuin muualla kaupungissa, joten tilaa omille työkaluille ja työtiloille on vähemmän kuin muualla kaupungissa.
Eli siis tarve on suurempi ja mahdollisuus huonompi.",Keskinen,60.18662866666811,24.965710335236192,27.0,accepted,9.0,Not selected,700.0,6.0,29333.333333333332,176000.0,Kallio
1008,1,Pukinmäen liikekeskuksen liikennejärjestelyt,"Pukinmäessä ajoneuvoliikenne on erittäin vilkasta liikekeskuksen (Eskolantien ja Säterintien risteys) ympäristössä. Tämä etenkin ruuhka-aikoina. Tästä kärsivät sekä jalankulkijat  että autoilijat. Syynä  ovat Eskolantien etelänpuoleisen osan liikennejärjestelyt. Kaikki ajoneuvoliikenne tällä alueella johdetaan Eskolantien kautta, mikä tuo kaiken ajoneuvoliikenteen tuohon yhteen risteykseen (Eskolantie/Säterintie) ja seurauksena on pahat ruuhkat. Tämän lisäksi liikekeskuksen pysäköintipaikat Säterintiellä aiheuttavat vielä lisää  ruuhkaa. Ratkaisu: avataan uusi ajoväylä autoliikenteelle Pukinmäenkaarelle Weisteen lähistölle. Silloin suuri osa etelänpuoleisen Pukinmäen autoliikenteestä siirtyy pois liikekeskuksesta. Ja turvallisuus paranee.          
",Koillinen,60.24301329197981,24.994462022812467,8.0,rejected,0.0,Not selected,,,,,Pukinmäki
1009,1,Uimalaituri ja piensauna Katajanokalle,"Katajanokka on merellinen alue, josta on kuitenkin vaikea päästä uimaan mereen. Matruusinpuisto tai Katajanokan kärki olisivat loistavia paikkoja pienelle kaupunkilaisille avoimelle saunalle, jossa olisi myös laituri, josta uimamahdollisuus. Uima-alueen voisi rajata vene/laivaväylistä poijuilla.  Mallia voi ottaa esim. Tampereen rauhaniemen kansankylpylästä, joka on avoinna läpi vuoden. Ks. https://www.rauhaniemi.net",Eteläinen,60.16632,24.97185,9.0,rejected,3.0,Not selected,,,,,Vironniemi
1009,2,Terveysasemille monikielinen ajanvaraus ja monipuoliset tulkkauspalvelut,"Vieraskieliset asukkaat käyttävät tutkimusten mukaan heikommin terveys- ja sosiaalipalveluita kuin suomen- tai ruotsinkieliset kuntalaiset. Osittain syynä on tiedonpuute suomalaisesta palvelujärjestelmästä tai heikko suomen kielen taito. Ensimmäinen este tulee vastaan jo terveysaseman ajanvarauksessa, joka tehdään puhelinpalvelussa (takaisinsoitto). Heiveröisesti suomea taitavan henkilön on vaikea ymmärtää, mitä automaatti ohjeistaa.
Ehdotus: Puhelinpalvelussa voisi olla esim. 10 puhutuimmalla kielellä automatisoitu ilmoitus heti aluksi. Silloin soittaja voi valita suoraan, millä kielellä kuuntelee tiedotteen ja saa ohjeen takaisinsoitosta. Tietyllä kielellä tilattu takaisinsoitto toteutuisi 1-2 päivän sisällä. Kaupungin työntekijöiden joukossa on paljon kielitaitoa, jota voitaisiin käyttää näin hyödyksi. Palvelu lisäisi itsenäistä asiointia.
Samalla tulisi kehittää terveysasemilla toteutettavia tulkkauspalveluita laadukkaammiksi, ja käyttää aiempaa enemmän apuna myös teknologiaa.",Helsingin yhteinen,60.168676579179866,24.9409467965726,3.0,accepted,0.0,Not selected,790.0,4.0,87500.0,350000.0,Vironniemi
1010,1,Asukkaiden edustus Koskelan Monipuolisen palvelutalon suunnitteluun,"Uudistuvan Koskelan sairaala-alueen monipuoliseen palvelutaloon lähialueen asukkaille on saatava riittävät tilat kokoontumis- ja harrastustoimintaan. Kuntosalin yhteydessä on oltava vesiliikuntatila vesijumppaa varten, kuten on Kinaporissa Sörnäisissä
Tulevia toimintoja suunnittelevaan rakennustoimikuntaan on saatava alueen asukkaiden edustus. Rakennus hankkeen edistymisestä on kaupungin tiedotettava jokaiseen talouteen 
",Keskinen,60.21714587205473,24.96340688262595,8.0,rejected,2.0,Not selected,,,,,Vanhakaupunki
1010,2,Mellunmäen metrosilta,"Haluaisin, että Mellunmäen metron betoninen korkea silta joka vie asemalle, maalattaisiin kirkkain värein ja sillalle tulisi hieno pysyvä valo tai valotaideteos. Sillan alustaa voisi käyttää torimaisena kokoontumispaikkana. 

Nyt silta on ruma ja hyvin näkyvästi keskeisellä paikalla ja sillan alusta on epämääräistä epäaluetta. Tämä harmaa betonisilta hallitsee Mellunäen metriksen yleisnäkymää ja tunnelmaa. Vaikuttavassa rakennelmassa on potentiaalia näyttäväksi piristysruiskeeksi nyt niin ankealle kaupunkitilalle. 

Olen pitkään miettinyt, että tuolle pitäisi tehdä jotain, tuo pitäisi vähintään maalata tyylikkäämmän näköiseksi.",Itäinen,60.2381084693477,25.1075974702508,5.0,rejected,1.0,Not selected,,,,,Mellunkylä
1011,1,Grillikatokset,"Grillikatokset lisäävät yhteisöllisyyttä, tarjoavat edullisen ruuanvalmistuspaikan mikä sopii myös etnisimmille ruuille. Merkityt grillipaikat vähentävät myös laittomien tulentekopaikkojen määrää lisäten alueen turvallisuutta.  

  

Idea on noussut Sininauhasäätiön toimintaympäristöissä.",Keskinen,60.20838420995945,24.945427040157057,9.0,accepted,2.0,Not selected,,,,,Vanhakaupunki
1011,2,Yhteisöllinen piha päiväkoti Vaskiniittyyn,"Päiväkoti Vaskiniitty sijaitsee keskeisellä paikalla Suutarilassa ja sen piha on päivisin päiväkodin käytössä ja iltaisin sekä viikonloppuisin alueen lapsiperheiden käytössä. Piha on ankea ja epäkäytännöllinen, pelkää asvalttia ja hiekkaa. Lapset toivoisivat pihalle vihreyttä (puita, pensaita, kasveja), eri-ikäisille sopivia leikkipaikkoja ja välineitä sekä katoksia, jotka suojaisivat auringolta ja sateelta.
Alueen lapsiperheet toivoisivat lisäksi pöytäryhmiä, joissa istuskella ja syödä vaikka eväitä sekä kasvillisuutta ja varjoisia paikkoja sekä toimivampaa sadevesijärjestelmää.
Koko piha kaipaisi pirteämpää ilmettä, toiminnallisuutta ja innostavuutta monipuoliseen leikkiin ja liikuntaan, jotta siitä tulisi koko alueen yhteinen kokoontumispaikka.",Koillinen,60.2750194,25.0030541,5.0,accepted,1.0,Not selected,956.0,2.0,200000.0,400000.0,Suutarila
1012,1,Lisää taidetta Vallilaan,"Harmaa Vallila kaipaa lisää taidetta muraalien, kierrätystaiteen ja neulegraffittien muodossa. Alueen asukkaita voitaisiin osallistaa teosten toteuttamiseen, mikä lisää yhteisöllisyyttä ja tuo aurinkoisen ilmeen katukuvaan. Tutkimukset ovat myös todistaneet, että kun asukkaat saavat vaikuttaa asuinympäristöönsä niin ympäristö pysyy turvallisena ja siistinä.",Keskinen,60.19447212101163,24.957023505330763,11.0,rejected,0.0,Not selected,,,,,Vallila
1012,2,Liikuntapuisto Mellunmäkeen,"Liikuntapuisto sopisi hyvin puistoon joka on Yllästunturintien ja Saariselänkujan välissä, keskellä Mellunmäkeä. Puisto lisäisi ihmisten liikkumista, jolla on suurta vaikutusta ihmisten terveyteen. Laitteet pitäisi sopia kaikenikäisille. Lihaskuntolaitteitten lisäksi tarvitaan tasapainoa harjottavia laitteita.

Puiston lähellä metsikön takana on muutamia huonokuntoisia liikuntalaitteita, jotka voi poistaa siksikin, että monet ikäihmiset eivät uskalla mennä sinne. Mellunmäessä on paljon ikäihmisiä, joiden hyvinvoinnille ulkoilu ja monipuolinen liikunta ovat tuki tärkeitä. Tämä myös vähentää lääkärissä käyntejä. Mellunmäen väki kaipaa liikuntaa. Siitä on todisteena suuri osaanotto kesäisiin jumppiin ja sauvakävelyyn.",Itäinen,60.2375216,25.1280156,7.0,rejected,2.0,Not selected,,,,,Mellunkylä
1013,1,Sosiaali- ja terveyspalveluiden asiointikoppi ,"Asiointikopit toimivat vanhanajan puhelinkoppien tapaan. Kopista löytyy ilmainen nettiyhteys ja mahdollisuus soittaa kaupungin palvelunumeroihin. Asiointikopit tarjoavat erinomaisen mahdollisuuden edistää matalankynnyksen sosiaali- ja terveyspalveluiden saavutettavuutta ja yhdenvertaisuutta.  

  
Idea on noussut Sininauhasäätiön toimintaympäristöissä.",Helsingin yhteinen,,,9.0,accepted,0.0,Not selected,,,,,location_not_specified
1013,2,Tyttöjen toiveet ulkoalueille,"Onko kukaan kysynyt tytöiltä, mitä he haluaisivat ulkoilualueilta? Luen Caroline Criado Perezin Näkymättömät naiset (Vuoden tiedekirja 2019) ja sieltä esim Malmön kaupungin kokemukset olivat kiinnostavia (s 80). https://malmo.se - suunnitelmat v 2013.",Helsingin yhteinen,60.168676579179866,24.9409467965726,3.0,rejected,0.0,Not selected,,,,,Vironniemi
1014,1,"Uimahalli Viikintien kallioon, kalliossa on olemassa jo vanha pommisuoja.","Halli palvelusi Pihlajamäen, Pihlajiston, Viikinmäen, Viikin, Arabianrannan ja Koskelan asukkaita. Asukas määrät tulevat lisääntymään alueella raide jokerin ansiosta. Koko alueella ei ole lähellä liikunta paikkoja. ",Koillinen,60.2199,24.9868,6.0,rejected,0.0,Not selected,,,,,Latokartano
1014,2,Monikierrätysroskiksia Helsingin puistoihin ,"Toiveena on saada Helsingiin  puistoihin ""monikierrätysroskiksia"" eli roskikisia joissa on ns. erilliset lokerot kierrätettväille roskiksille  mm. lasille, biojätteelle, kartongeille ja pahville ja muoville sekä ""perusjätteelle"".",Helsingin yhteinen,,,7.0,accepted,2.0,Not selected,,,,,location_not_specified
1015,1,Kota Keskuspuistoon - nuotiopiiri metsään,"Ulkoilijoille ja alueen ympäristökasvatuksen tueksi ehdotamme 1-2 kodan rakentamista metsäiseen paikkaan. kts. https://youtu.be/QEseGj13hLI. vrt. Uutelan kota ja kotakummitoiminta. Päiväkodit, koulut ja yhdistykset käyttävät kotaa myös. Stadin omaa käyttöä esim. TYKY tai lähiöliikunnan ryhmät. Keskuspuiston kota on evästelyn ja nuotion ääressä kokoontuvien ulkoilijoiden retken kohokohta ja suoja. Vapaaehtoisten hoitama kota edistää yhteisöllisyyttä. Siellä mm. järjestetään lauluiltoja, lettukestejä ja luonnonharrastus toimintaa. Asukasyhdistykset, koulut, päiväkodit sekä ulkoilu- ja liikuntajärjestöt sekä asukkaat ovat jo innolla mukana. ”Kota Keskuspuistoon” FB ryhmä toimii jo. Kävijöitä odotetaan satoja päivässä. Kota parantaisi puiston palveluita ja sen lähistöllä tarvitaan myös Huussit. Kodan sijainnista on ehdotuksia nettikartalla (linkki). Esim. Timapuun 32 hehengen kota on hyvä. Sen pystyttämisestä, varustamisesta ja puuhuollosta Staralla on kokemusta. Hinta a 40 000€",Helsingin yhteinen,60.17116,24.93266,14.0,accepted,5.0,Not selected,166.0,1.0,300000.0,300000.0,Kampinmalmi
